mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_loss,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.006740093231201172,0.00044237332197034375,0.006134430567423503,2.8210290603291738e-05,0.0001,hinge,"{'C': 0.0001, 'loss': 'hinge'}",0.37236987818383166,0.37254359258234154,0.37254359258234154,0.37248568778283825,8.188975278405382e-05,8
0.008485873540242514,0.00046463307020180476,0.006088972091674805,6.152893296443867e-05,0.0001,squared_hinge,"{'C': 0.0001, 'loss': 'squared_hinge'}",0.37236987818383166,0.37254359258234154,0.37254359258234154,0.37248568778283825,8.188975278405382e-05,8
0.01360019048055013,0.0031677634823932036,0.004730780919392903,0.000634156680576605,0.001,hinge,"{'C': 0.001, 'loss': 'hinge'}",0.37236987818383166,0.37254359258234154,0.37254359258234154,0.37248568778283825,8.188975278405382e-05,8
0.010581413904825846,0.003149689495083626,0.0049792130788167315,0.0009657558325941288,0.001,squared_hinge,"{'C': 0.001, 'loss': 'squared_hinge'}",0.37236987818383166,0.37254359258234154,0.37254359258234154,0.37248568778283825,8.188975278405382e-05,8
0.01842498779296875,0.003585006474874237,0.006588856379191081,0.003613052637545895,0.01,hinge,"{'C': 0.01, 'loss': 'hinge'}",0.37236987818383166,0.37254359258234154,0.37254359258234154,0.37248568778283825,8.188975278405382e-05,8
0.010365486145019531,0.0001819608138207376,0.005060752232869466,0.0013012449846947418,0.01,squared_hinge,"{'C': 0.01, 'loss': 'squared_hinge'}",0.554314244216205,0.5583636721646634,0.5436526874350899,0.5521102012719861,0.0062046553438208744,7
0.011549949645996094,0.002573937586043758,0.008591890335083008,0.0025588194667933986,0.1,hinge,"{'C': 0.1, 'loss': 'hinge'}",0.5914659631949408,0.6008891658960158,0.5890733135383367,0.593809480876431,0.005100499849832435,6
0.012091875076293945,0.0013642772480979232,0.005759398142496745,0.0005656185319408011,0.1,squared_hinge,"{'C': 0.1, 'loss': 'squared_hinge'}",0.7618579040974427,0.7776443103826027,0.7605989811583348,0.7667003985461268,0.00775556258243387,2
0.04508638381958008,0.01761417565660053,0.004515647888183594,0.0003459054004545049,1.0,hinge,"{'C': 1.0, 'loss': 'hinge'}",0.7710467977417428,0.7777915822529944,0.7676591016218872,0.7721658272055415,0.004211568285930048,1
0.022897879282633465,0.003569542295989678,0.010812997817993164,0.005948385514942143,1.0,squared_hinge,"{'C': 1.0, 'loss': 'squared_hinge'}",0.7528349690529232,0.7609309192493163,0.7584297021509672,0.757398530151069,0.0033846308676771966,3
0.205673615137736,0.07534725911146843,0.007281382878621419,0.0018330816791283326,10.0,hinge,"{'C': 10.0, 'loss': 'hinge'}",0.717986994628216,0.7186963913230584,0.7283736964794059,0.72168569414356,0.00473799130088354,4
0.1051327387491862,0.005716255458048481,0.008265097935994467,0.0020770754523860165,10.0,squared_hinge,"{'C': 10.0, 'loss': 'squared_hinge'}",0.714225561207838,0.7141998986975839,0.7208312943825088,0.716418918095977,0.003120038783046342,5
