model,config,f1_macro_mean,f1_macro_std,f1_0_mean,f1_0_std,f1_1_mean,f1_1_std,precision_1_mean,precision_1_std,recall_1_mean,recall_1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,f1_macro_train_mean,f1_macro_train_std,overfitting_gap,f1_macro_ci_low,f1_macro_ci_high,roc_auc_ci_low,roc_auc_ci_high
LogReg_balanced_baseline,A,0.77758210077443,0.0097608894440376,0.8228092457597954,0.0063915032899388,0.7323549557890644,0.0133779361862718,0.7473319693489258,0.0088892010278496,0.7181690122389076,0.020155753991858,0.8464364937892043,0.0122911112175652,0.5557312953688637,0.0190685011099368,0.8860052989103899,0.0031969161708562,0.1084231981359599,0.768298862051357,0.7879763879286662,0.8372571083776192,0.8566723709034241
MultinomialNB_baseline,C,0.7798917536512502,0.0100060602079103,0.8416431473342059,0.0059093588329486,0.7181403599682945,0.0144191299641395,0.8250566599996839,0.0118217475673772,0.6360412244149173,0.0200688638022168,0.8446272463382055,0.0081068398616879,0.5757320458632874,0.0180742196573997,0.8568710316469431,0.0031472584468871,0.0769792779956929,0.7703678654295059,0.7894530496762436,0.8359012914705718,0.855668770574208
LinearSVC_baseline,C,0.7681124192789732,0.0069175648514565,0.8205038886270624,0.0021891555152892,0.7157209499308841,0.0126061357426364,0.7535934239162453,0.0086478447462579,0.6823492412925545,0.0288498805122772,0.8301782300591363,0.0120913545292221,0.5393274065838225,0.0119745651772584,0.9491768508316104,0.0029053815975308,0.1810644315526371,0.7585397074614469,0.7782098088712559,0.8203096445945047,0.8407663039855656
LogReg_balanced_tuned,,0.7774855289467213,0.006933811975532534,0.8207716484216551,0.0057339466439131175,0.7341994094717873,0.008429257321927718,0.7410506028986248,0.009818318991420317,0.7275703016484525,0.010785320289130405,0.8487478598291511,0.012208121743853747,0.555132974870153,0.013841561423228248,0.8764894239176005,0.0025506677558697825,0.09900389497087925,0.7682350675819549,0.7876296487890808,0.8398450349088008,0.8588747479039417
MultinomialNB_tuned,,0.7801928146541014,0.008305256191550588,0.837537754722827,0.0043396521552959465,0.7228478745853758,0.012527577862906156,0.8027224365692712,0.007189811912032215,0.6577489058364128,0.020399062879027284,0.8429360143790188,0.008753480809764588,0.5701594361140415,0.014375723437797448,0.8703797766975268,0.0029920575422716436,0.09018696204342536,0.7710288289902448,0.7909557085896909,0.8341924387365284,0.8540624595967276
LinearSVC_tuned,,0.7807379158866384,0.004897619154913835,0.8352265684958438,0.00399388641126664,0.7262492632774331,0.00658766992922514,0.7910170119144044,0.010940053151400606,0.6714940902062531,0.011598929239424087,0.8423728960618021,0.014434911465766807,0.5682222161827755,0.009881928917339518,0.8954232513862246,0.0032891363161198332,0.11468533549958615,0.7707477499414918,0.790834725043955,0.8329543700187855,0.8526643595689423
