modell,f1_macro,f1_1,precision_1,recall_1,mcc,fnr,fpr,tn,fp,fn,tp
Claude Haiku Zero-Shot,0.7929,0.7255,0.9123,0.6022,0.6237,0.3978,0.0396,776,32,220,333
Claude Haiku Few-Shot,0.7675,0.6876,0.9029,0.5552,0.5835,0.4448,0.0408,775,33,246,307
