train_size,train_f1_mean,train_f1_std,cv_f1_mean,cv_f1_std,gap
544,0.9280806532087638,0.006101464445328987,0.6007547883321335,0.018179055134735146,0.3273258648766303
1088,0.9186576405446554,0.003792778926867953,0.6647806157844596,0.011398932195258872,0.2538770247601958
1632,0.9086866188791862,0.002433249147665386,0.7047077967204243,0.019073962790821936,0.20397882215876195
2176,0.9041162556483224,0.002746223324930983,0.7248114257439869,0.010121533240891883,0.1793048299043355
2720,0.8991426627227639,0.0023342070391833836,0.7381485712476403,0.008668146740209074,0.16099409147512356
3264,0.8927532729445226,0.0016994366966131317,0.7504935400497721,0.007252538394840074,0.14225973289475047
3808,0.8836447892922259,0.003868564249569502,0.7623241319419763,0.007795375498508102,0.12132065735024955
4352,0.877347664973529,0.003467366232937974,0.7680363056464989,0.0055153783869502085,0.10931135932703007
4896,0.8774366067242323,0.0017285906527241893,0.7761683729087817,0.004548750802961622,0.10126823381545058
5440,0.8764261006344644,0.002482629253714095,0.7781200839325909,0.006713480230254572,0.09830601670187344
