mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.027356545130411785,0.004274689784197046,0.007417758305867513,0.0010824988796951744,0.001,l2,lbfgs,"{'C': 0.001, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7144216972002535,0.7605044300369266,0.7219827227829789,0.7323029500067196,0.020178947509492437,13
0.08871046702067058,0.008871694163086695,0.009894609451293945,0.0009844433531941102,0.001,l2,saga,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}",0.732683107607304,0.7644650711514883,0.7205039519106455,0.7392173768898127,0.018532269289344122,10
0.006478786468505859,0.0033028653407340264,0.0,0.0,0.001,l1,lbfgs,"{'C': 0.001, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.01151585578918457,0.0022405146779529684,0.004755338033040364,0.0005303411203202141,0.001,l1,saga,"{'C': 0.001, 'penalty': 'l1', 'solver': 'saga'}",0.37236987818383166,0.37254359258234154,0.37254359258234154,0.37248568778283825,8.188975278405382e-05,17
0.01836856206258138,0.0014967430301296774,0.004448413848876953,0.0009985746763653007,0.01,l2,lbfgs,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7282979580579529,0.7660164255908937,0.7311635628912546,0.7418259821800337,0.017145185661980505,9
0.040580034255981445,0.0019329335838928561,0.006429592768351237,0.0012209680937332055,0.01,l2,saga,"{'C': 0.01, 'penalty': 'l2', 'solver': 'saga'}",0.7310528917449333,0.7665966559591466,0.7301807938104468,0.7426101138381757,0.01696478295160641,8
0.0024242401123046875,0.000525320628262871,0.0,0.0,0.01,l1,lbfgs,"{'C': 0.01, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.020393212636311848,0.0035087021776075093,0.006463845570882161,0.0010539299394297294,0.01,l1,saga,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",0.37236987818383166,0.37254359258234154,0.37254359258234154,0.37248568778283825,8.188975278405382e-05,17
0.028585036595662434,0.0007776825040974845,0.010100762049357096,0.003789148492880813,0.1,l2,lbfgs,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7569889499145713,0.7808220145814146,0.755528287712838,0.7644464174029414,0.011594640162034953,4
0.05020991961161295,0.008382247884773396,0.005930185317993164,0.0004504933194863969,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.7569889499145713,0.7808220145814146,0.7559426405994316,0.764584535031806,0.011489574909128409,3
