model,config,f1_macro_mean,f1_macro_std,f1_0_mean,f1_0_std,f1_1_mean,f1_1_std,precision_1_mean,precision_1_std,recall_1_mean,recall_1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,f1_macro_train_mean,f1_macro_train_std,overfitting_gap,f1_macro_ci_low,f1_macro_ci_high,roc_auc_ci_low,roc_auc_ci_high
MultinomialNB,A,0.7780832687512269,0.011856056602202097,0.8406978732353572,0.006684169218335776,0.7154686642670967,0.017084116930042418,0.8240001567444841,0.00894186951090181,0.6324245878868884,0.022447239975418636,0.8439137950903428,0.008863708207584288,0.5725378895895343,0.021013698463535853,0.8639021474740851,0.0034086188787423913,0.0858188787228582,0.7687880630077065,0.7885830211141792,0.8355116977605833,0.854721472717207
MultinomialNB,B,0.774283627532854,0.013614387776680103,0.8441279770545428,0.007511712360184459,0.7044392780111651,0.019766995769068294,0.8551871004046733,0.010737449136486395,0.5991436695757004,0.024577536800499854,0.8426937874394212,0.009559485809407776,0.5765862644116765,0.02357943232580271,0.8612727659185275,0.0038473533350189336,0.08698913838567357,0.764632118014106,0.7840553191416317,0.8342035847384787,0.8529872986775285
MultinomialNB,C,0.7798917536512502,0.01000606020791031,0.8416431473342059,0.005909358832948607,0.7181403599682945,0.014419129964139554,0.8250566599996839,0.011821747567377283,0.6360412244149173,0.02006886380221682,0.8446272463382055,0.008106839861687976,0.5757320458632874,0.018074219657399797,0.8568710316469431,0.0031472584468871475,0.07697927799569293,0.7703678654295059,0.7894530496762436,0.8359012914705718,0.855668770574208
ComplementNB,A,0.7705279631807145,0.004282980468742425,0.8134324583180538,0.002745476548162273,0.7276234680433752,0.006302696879472527,0.7274287614767382,0.004029750265124492,0.7279299997379249,0.01198379280393905,0.8439137950903428,0.008863708207584288,0.5411387542308945,0.00853813547956353,0.8750686351906813,0.0028687942489294157,0.10454067200996686,0.761337533599519,0.782009820820244,0.8355137179543825,0.8547226278487331
ComplementNB,B,0.7757726778616457,0.009381170483574657,0.8261376812389344,0.006868707689156348,0.7254076744843572,0.012035622181910077,0.7621453556778802,0.011013034862956975,0.6921135047304557,0.014379034684789151,0.8426937874394212,0.009559485809407776,0.5539595429686742,0.01854734007482743,0.8847417681527169,0.0022012926837658704,0.10896909029107116,0.7662681430527959,0.7859957290043549,0.8342050627107728,0.8529910434456117
ComplementNB,C,0.7704159087962303,0.008150717054899101,0.8128377970045108,0.0051042140840118445,0.7279940205879496,0.011303705250800943,0.7256778420103742,0.005837351588526544,0.7304668868097597,0.017991539812480167,0.8446272463382055,0.008106839861687976,0.5409487738496639,0.016293648840248722,0.8652927685014833,0.0009961600682272338,0.09487685970525295,0.7598418288133665,0.7808779785393319,0.8359067924474632,0.8556676641855093
