modell,f1_macro,roc_auc,mcc,precision_1,recall_1,fnr,fpr,f1_ci_low,f1_ci_high,tn,fp,fn,tp,epochs,learning_rate,trainingszeit_sek
"TF-IDF + LogReg_balanced (Standard, Phase 5)",0.7775,0.8487,0.5551,0.741,0.728,0.272,0.174,,,,,,,,,
"distilbert-base-uncased (Bonus, Phase 8)",0.8079,0.8783,0.6186,0.8056,0.7269,0.2731,0.12,0.787,0.8271,711.0,97.0,151.0,402.0,3.0,2e-05,107.0
